gelB_I_2_5mm8	gelB_I_2_5mm8	gelB_I_2_5mm8	
0.273484	0.003	0.4	
0.132534	0.004	0.405	
-0.00631117	0.004	0.41	
0.0294521	0.004	0.415	
0.0273484	0.004	0.42	
-0.0862526	0.004	0.425	
-0.117808	0.004	0.43	
0.0820452	0.004	0.435	
0.166194	0.004	0.44	
0.0568005	0.004	0.445	
-0.0126223	0.004	0.45	
0.0546968	0.004	0.455	
0.0399707	0.004	0.46	
-0.0988749	0.004	0.465	
-0.147261	0.004	0.47	
0	0.004	0.475	
0.09046	0.004	0.48	
0.0147261	0.004	0.485	
-0.0589042	0.004	0.49	
0.0315558	0.004	0.495	
0.0399707	0.004	0.5	
-0.0883563	0.005	0.505	
-0.115705	0.005	0.51	
0.0546968	0.005	0.515	
0.145157	0.005	0.52	
0.0189335	0.005	0.525	
-0.0294521	0.005	0.53	
0.0841489	0.005	0.535	
0.113601	0.005	0.54	
-0.0546968	0.005	0.545	
-0.12412	0.005	0.55	
0.0126223	0.005	0.555	
0.0799414	0.005	0.56	
-0.0252447	0.005	0.565	
-0.0820452	0.005	0.57	
0.0336596	0.005	0.575	
0.0862526	0.005	0.58	
-0.0525931	0.005	0.585	
-0.126223	0.005	0.59	
-0.00631117	0.005	0.595	
0.0589042	0.005	0.6	
-0.0504893	0.006	0.605	
-0.0631117	0.006	0.61	
0.128327	0.006	0.615	
0.189335	0.006	0.62	
0.0126223	0.006	0.625	
-0.122016	0.006	0.63	
0	0.006	0.635	
0.0610079	0.006	0.64	
-0.0694228	0.006	0.645	
-0.105186	0.006	0.65	
0.0820452	0.006	0.655	
0.168298	0.006	0.66	
0.0189335	0.006	0.665	
-0.0883563	0.006	0.67	
0.0126223	0.006	0.675	
0.0462819	0.006	0.68	
-0.0967712	0.006	0.685	
-0.161987	0.006	0.69	
0.0252447	0.006	0.695	
0.140949	0.006	0.7	
0.0336596	0.007	0.705	
-0.0589042	0.007	0.71	
0.0568005	0.007	0.715	
0.0799414	0.007	0.72	
-0.122016	0.007	0.725	
-0.227202	0.007	0.73	
-0.00631117	0.007	0.735	
0.140949	0.007	0.74	
0.00631117	0.007	0.745	
-0.0420744	0.007	0.75	
0.0778377	0.007	0.755	
0.132534	0.007	0.76	
-0.0736303	0.007	0.765	
-0.176713	0.007	0.77	
-0.0126223	0.007	0.775	
0.126223	0.007	0.78	
0.0441782	0.007	0.785	
-0.0147261	0.007	0.79	
0.09046	0.007	0.795	
0.132534	0.007	0.8	
-0.0736303	0.008	0.805	
-0.174609	0.008	0.81	
-0.00210372	0.008	0.815	
0.075734	0.008	0.82	
-0.0946675	0.008	0.825	
-0.138846	0.008	0.83	
0.0946675	0.008	0.835	
0.227202	0.008	0.84	
0.0399707	0.008	0.845	
-0.115705	0.008	0.85	
0.0231409	0.008	0.855	
0.0988749	0.008	0.86	
-0.0967712	0.008	0.865	
-0.204061	0.008	0.87	
0.00210372	0.008	0.875	
0.147261	0.008	0.88	
-0.00841489	0.008	0.885	
-0.0883563	0.008	0.89	
0.0420744	0.008	0.895	
0.115705	0.008	0.9	
-0.0946675	0.009	0.905	
-0.18092	0.009	0.91	
0.037867	0.009	0.915	
0.185128	0.009	0.92	
-0.0168298	0.009	0.925	
-0.143053	0.009	0.93	
0.0820452	0.009	0.935	
0.206165	0.009	0.94	
-0.0273484	0.009	0.945	
-0.193542	0.009	0.95	
-0.0315558	0.009	0.955	
0.0988749	0.009	0.96	
-0.0778377	0.009	0.965	
-0.174609	0.009	0.97	
0.0210372	0.009	0.975	
0.183024	0.009	0.98	
0.0420744	0.009	0.985	
-0.100979	0.009	0.99	
0.0357633	0.009	0.995	
0.134638	0.009	1	
-0.0568005	0.01	1.005	
-0.18092	0.01	1.01	
0.0462819	0.01	1.015	
0.199854	0.01	1.02	
0	0.01	1.025	
-0.155675	0.01	1.03	
0.0273484	0.01	1.035	
0.134638	0.01	1.04	
-0.0820452	0.01	1.045	
-0.239824	0.01	1.05	
-0.0336596	0.01	1.055	
0.145157	0.01	1.06	
0.0147261	0.01	1.065	
-0.117808	0.01	1.07	
0.0673191	0.01	1.075	
0.185128	0.01	1.08	
-0.00841489	0.01	1.085	
-0.189335	0.01	1.09	
-0.0315558	0.01	1.095	
0.149364	0.01	1.1	
0.0147261	0.011	1.105	
-0.12412	0.011	1.11	
0.0525931	0.011	1.115	
0.18092	0.011	1.12	
-0.0168298	0.011	1.125	
-0.208268	0.011	1.13	
-0.0546968	0.011	1.135	
0.0967712	0.011	1.14	
-0.0462819	0.011	1.145	
-0.16409	0.011	1.15	
0.0799414	0.011	1.155	
0.275588	0.011	1.16	
0.0799414	0.011	1.165	
-0.130431	0.011	1.17	
-0.00841489	0.011	1.175	
0.109394	0.011	1.18	
-0.0420744	0.011	1.185	
-0.176713	0.011	1.19	
0.0147261	0.011	1.195	
0.248239	0.011	1.2	
0.130431	0.012	1.205	
-0.0399707	0.012	1.21	
0.0441782	0.012	1.215	
0.12412	0.012	1.22	
-0.0967712	0.012	1.225	
-0.267173	0.012	1.23	
-0.0610079	0.012	1.235	
0.157779	0.012	1.24	
0.0504893	0.012	1.245	
-0.0694228	0.012	1.25	
0.0736303	0.012	1.255	
0.187231	0.012	1.26	
-0.0168298	0.012	1.265	
-0.21458	0.012	1.27	
-0.0589042	0.012	1.275	
0.12412	0.012	1.28	
0.0210372	0.012	1.285	
-0.103082	0.012	1.29	
0.0126223	0.012	1.295	
0.168298	0.012	1.3	
-0.00210372	0.013	1.305	
-0.18092	0.013	1.31	
-0.0441782	0.013	1.315	
0.0883563	0.013	1.32	
-0.0483856	0.013	1.325	
-0.130431	0.013	1.33	
0.0568005	0.013	1.335	
0.222995	0.013	1.34	
0.0799414	0.013	1.345	
-0.0862526	0.013	1.35	
0.0336596	0.013	1.355	
0.128327	0.013	1.36	
-0.0715266	0.013	1.365	
-0.231409	0.013	1.37	
-0.037867	0.013	1.375	
0.168298	0.013	1.38	
0.0946675	0.013	1.385	
-0.0315558	0.013	1.39	
0.0483856	0.013	1.395	
0.12412	0.013	1.4	
-0.075734	0.014	1.405	
-0.252447	0.014	1.41	
-0.0946675	0.014	1.415	
0.0820452	0.014	1.42	
-0.0357633	0.014	1.425	
-0.132534	0.014	1.43	
0.0841489	0.014	1.435	
0.220891	0.014	1.44	
0.0336596	0.014	1.445	
-0.170401	0.014	1.45	
-0.0631117	0.014	1.455	
0.09046	0.014	1.46	
-0.0126223	0.014	1.465	
-0.113601	0.014	1.47	
0.0820452	0.014	1.475	
0.231409	0.014	1.48	
0.09046	0.014	1.485	
-0.105186	0.014	1.49	
-0.0357633	0.014	1.495	
0.0399707	0.014	1.5	
-0.109394	0.015	1.505	
-0.222995	0.015	1.51	
0.0105186	0.015	1.515	
0.229306	0.015	1.52	
0.0946675	0.015	1.525	
-0.0967712	0.015	1.53	
0.0231409	0.015	1.535	
0.149364	0.015	1.54	
-0.0546968	0.015	1.545	
-0.252447	0.015	1.55	
-0.0546968	0.015	1.555	
0.161987	0.015	1.56	
0.075734	0.015	1.565	
-0.0694228	0.015	1.57	
0.0778377	0.015	1.575	
0.195646	0.015	1.58	
0	0.015	1.585	
-0.21458	0.015	1.59	
-0.126223	0.015	1.595	
0.0231409	0.015	1.6	
-0.0525931	0.016	1.605	
-0.105186	0.016	1.61	
0.0946675	0.016	1.615	
0.258758	0.016	1.62	
0.0673191	0.016	1.625	
-0.12412	0.016	1.63	
-0.00841489	0.016	1.635	
0.109394	0.016	1.64	
-0.0441782	0.016	1.645	
-0.161987	0.016	1.65	
0.0252447	0.016	1.655	
0.204061	0.016	1.66	
0.0504893	0.016	1.665	
-0.138846	0.016	1.67	
-0.0147261	0.016	1.675	
0.0946675	0.016	1.68	
-0.0525931	0.016	1.685	
-0.212476	0.016	1.69	
-0.0694228	0.016	1.695	
0.122016	0.016	1.7	
0.0399707	0.017	1.705	
-0.0736303	0.017	1.71	
0.100979	0.017	1.715	
0.218787	0.017	1.72	
0.00420744	0.017	1.725	
-0.168298	0.017	1.73	
-0.00631117	0.017	1.735	
0.143053	0.017	1.74	
-0.0189335	0.017	1.745	
-0.136742	0.017	1.75	
0.0631117	0.017	1.755	
0.21458	0.017	1.76	
0.0273484	0.017	1.765	
-0.166194	0.017	1.77	
-0.0462819	0.017	1.775	
0.0862526	0.017	1.78	
-0.0525931	0.017	1.785	
-0.208268	0.017	1.79	
-0.0189335	0.017	1.795	
0.145157	0.017	1.8	
0.0273484	0.018	1.805	
-0.115705	0.018	1.81	
0.0294521	0.018	1.815	
0.149364	0.018	1.82	
-0.0315558	0.018	1.825	
-0.187231	0.018	1.83	
0.00841489	0.018	1.835	
0.204061	0.018	1.84	
0.0589042	0.018	1.845	
-0.117808	0.018	1.85	
0.0126223	0.018	1.855	
0.176713	0.018	1.86	
-0.0126223	0.018	1.865	
-0.204061	0.018	1.87	
-0.0589042	0.018	1.875	
0.113601	0.018	1.88	
-0.00631117	0.018	1.885	
-0.138846	0.018	1.89	
0.0441782	0.018	1.895	
0.187231	0.018	1.9	
0.037867	0.019	1.905	
-0.151468	0.019	1.91	
-0.0252447	0.019	1.915	
0.132534	0.019	1.92	
-0.0294521	0.019	1.925	
-0.16409	0.019	1.93	
0.0399707	0.019	1.935	
0.244032	0.019	1.94	
0.105186	0.019	1.945	
-0.0862526	0.019	1.95	
0.0210372	0.019	1.955	
0.16409	0.019	1.96	
-0.0189335	0.019	1.965	
-0.193542	0.019	1.97	
-0.0610079	0.019	1.975	
0.145157	0.019	1.98	
0.00420744	0.019	1.985	
-0.140949	0.019	1.99	
-0.00631117	0.019	1.995	
0.145157	0.019	2	
0.0168298	0.02	2.005	
-0.151468	0.02	2.01	
0.0315558	0.02	2.015	
0.208268	0.02	2.02	
0.0546968	0.02	2.025	
-0.119912	0.02	2.03	
0.0568005	0.02	2.035	
0.246135	0.02	2.04	
0.0610079	0.02	2.045	
-0.170401	0.02	2.05	
-0.0357633	0.02	2.055	
0.130431	0.02	2.06	
-0.0252447	0.02	2.065	
-0.235617	0.02	2.07	
-0.0883563	0.02	2.075	
0.126223	0.02	2.08	
0	0.02	2.085	
-0.168298	0.02	2.09	
-0.0357633	0.02	2.095	
0.151468	0.02	2.1	
0.0420744	0.021	2.105	
-0.128327	0.021	2.11	
0.0546968	0.021	2.115	
0.239824	0.021	2.12	
0.0925638	0.021	2.125	
-0.140949	0.021	2.13	
-0.00420744	0.021	2.135	
0.172505	0.021	2.14	
0.0210372	0.021	2.145	
-0.195646	0.021	2.15	
-0.0841489	0.021	2.155	
0.115705	0.021	2.16	
-0.00631117	0.021	2.165	
-0.178816	0.021	2.17	
-0.0441782	0.021	2.175	
0.159883	0.021	2.18	
0.0105186	0.021	2.185	
-0.18092	0.021	2.19	
-0.0778377	0.021	2.195	
0.103082	0.021	2.2	
0.0147261	0.022	2.205	
-0.119912	0.022	2.21	
0.0925638	0.022	2.215	
0.302936	0.022	2.22	
0.128327	0.022	2.225	
-0.10729	0.022	2.23	
-0.0504893	0.022	2.235	
0.10729	0.022	2.24	
-0.0315558	0.022	2.245	
-0.206165	0.022	2.25	
-0.0336596	0.022	2.255	
0.178816	0.022	2.26	
0.0736303	0.022	2.265	
-0.151468	0.022	2.27	
-0.0778377	0.022	2.275	
0.075734	0.022	2.28	
-0.0462819	0.022	2.285	
-0.183024	0.022	2.29	
-0.0546968	0.022	2.295	
0.170401	0.022	2.3	
0.111497	0.023	2.305	
-0.0126223	0.023	2.31	
0.115705	0.023	2.315	
0.267173	0.023	2.32	
0.0862526	0.023	2.325	
-0.151468	0.023	2.33	
-0.0399707	0.023	2.335	
0.132534	0.023	2.34	
0.00420744	0.023	2.345	
-0.166194	0.023	2.35	
-0.0273484	0.023	2.355	
0.145157	0.023	2.36	
-0.0189335	0.023	2.365	
-0.199854	0.023	2.37	
-0.115705	0.023	2.375	
0.0799414	0.023	2.38	
-0.00841489	0.023	2.385	
-0.126223	0.023	2.39	
0.037867	0.023	2.395	
0.195646	0.023	2.4	
0.0946675	0.024	2.405	
-0.0799414	0.024	2.41	
0.0315558	0.024	2.415	
0.149364	0.024	2.42	
-0.0126223	0.024	2.425	
-0.155675	0.024	2.43	
-0.00841489	0.024	2.435	
0.18092	0.024	2.44	
0.0652154	0.024	2.445	
-0.136742	0.024	2.45	
-0.0420744	0.024	2.455	
0.0652154	0.024	2.46	
-0.0820452	0.024	2.465	
-0.241928	0.024	2.47	
-0.0883563	0.024	2.475	
0.149364	0.024	2.48	
0.113601	0.024	2.485	
-0.0105186	0.024	2.49	
0.0883563	0.024	2.495	
0.212476	0.024	2.5	
0.037867	0.025	2.505	
-0.147261	0.025	2.51	
-0.0462819	0.025	2.515	
0.115705	0.025	2.52	
0.0694228	0.025	2.525	
-0.0568005	0.025	2.53	
0.10729	0.025	2.535	
0.260862	0.025	2.54	
0.0694228	0.025	2.545	
-0.145157	0.025	2.55	
-0.111497	0.025	2.555	
-0.0126223	0.025	2.56	
-0.109394	0.025	2.565	
-0.201957	0.025	2.57	
-0.00631117	0.025	2.575	
0.201957	0.025	2.58	
0.122016	0.025	2.585	
-0.0336596	0.025	2.59	
0	0.025	2.595	
0.0883563	0.025	2.6	
-0.0568005	0.026	2.605	
-0.183024	0.026	2.61	
-0.0147261	0.026	2.615	
0.18092	0.026	2.62	
0.09046	0.026	2.625	
-0.0189335	0.026	2.63	
0.09046	0.026	2.635	
0.157779	0.026	2.64	
-0.0399707	0.026	2.645	
-0.241928	0.026	2.65	
-0.130431	0.026	2.655	
0.0336596	0.026	2.66	
-0.0189335	0.026	2.665	
-0.103082	0.026	2.67	
0.0631117	0.026	2.675	
0.201957	0.026	2.68	
0.0568005	0.026	2.685	
-0.122016	0.026	2.69	
-0.0504893	0.026	2.695	
0.0673191	0.026	2.7	
-0.0294521	0.027	2.705	
-0.0778377	0.027	2.71	
0.109394	0.027	2.715	
0.269276	0.027	2.72	
0.0925638	0.027	2.725	
-0.0462819	0.027	2.73	
0.0357633	0.027	2.735	
0.0988749	0.027	2.74	
-0.0778377	0.027	2.745	
-0.216683	0.027	2.75	
-0.0273484	0.027	2.755	
0.103082	0.027	2.76	
-0.0126223	0.027	2.765	
-0.130431	0.027	2.77	
0.0126223	0.027	2.775	
0.111497	0.027	2.78	
-0.0799414	0.027	2.785	
-0.250343	0.027	2.79	
-0.0883563	0.027	2.795	
0.0673191	0.027	2.8	
-0.00631117	0.028	2.805	
-0.0589042	0.028	2.81	
0.16409	0.028	2.815	
0.265069	0.028	2.82	
0.0189335	0.028	2.825	
-0.191439	0.028	2.83	
-0.0631117	0.028	2.835	
0.0546968	0.028	2.84	
-0.126223	0.028	2.845	
-0.225098	0.028	2.85	
0.00420744	0.028	2.855	
0.174609	0.028	2.86	
0.00631117	0.028	2.865	
-0.161987	0.028	2.87	
-0.0357633	0.028	2.875	
0.100979	0.028	2.88	
-0.0568005	0.028	2.885	
-0.174609	0.028	2.89	
0.0294521	0.028	2.895	
0.229306	0.028	2.9	
0.0967712	0.029	2.905	
-0.0357633	0.029	2.91	
0.105186	0.029	2.915	
0.204061	0.029	2.92	
-0.0462819	0.029	2.925	
-0.252447	0.029	2.93	
-0.0715266	0.029	2.935	
0.111497	0.029	2.94	
-0.0210372	0.029	2.945	
-0.138846	0.029	2.95	
0.0504893	0.029	2.955	
0.210372	0.029	2.96	
0	0.029	2.965	
-0.208268	0.029	2.97	
-0.0631117	0.029	2.975	
0.0967712	0.029	2.98	
-0.0336596	0.029	2.985	
-0.166194	0.029	2.99	
0.0231409	0.029	2.995	
0.225098	0.029	3	
0.0673191	0.03	3.005	
-0.10729	0.03	3.01	
0.0399707	0.03	3.015	
0.178816	0.03	3.02	
-0.0441782	0.03	3.025	
-0.220891	0.03	3.03	
-0.0147261	0.03	3.035	
0.187231	0.03	3.04	
0.0147261	0.03	3.045	
-0.149364	0.03	3.05	
0.00210372	0.03	3.055	
0.170401	0.03	3.06	
-0.0210372	0.03	3.065	
-0.206165	0.03	3.07	
-0.0399707	0.03	3.075	
0.189335	0.03	3.08	
0.0504893	0.03	3.085	
-0.105186	0.03	3.09	
0.0210372	0.03	3.095	
0.183024	0.03	3.1	
0	0.031	3.105	
-0.193542	0.031	3.11	
-0.0168298	0.031	3.115	
0.172505	0.031	3.12	
0.00420744	0.031	3.125	
-0.183024	0.031	3.13	
0.00631117	0.031	3.135	
0.195646	0.031	3.14	
0.0273484	0.031	3.145	
-0.204061	0.031	3.15	
-0.0673191	0.031	3.155	
0.10729	0.031	3.16	
-0.00631117	0.031	3.165	
-0.149364	0.031	3.17	
0.0210372	0.031	3.175	
0.237721	0.031	3.18	
0.103082	0.031	3.185	
-0.126223	0.031	3.19	
-0.037867	0.031	3.195	
0.122016	0.031	3.2	
0	0.032	3.205	
-0.174609	0.032	3.21	
-0.00210372	0.032	3.215	
0.222995	0.032	3.22	
0.0988749	0.032	3.225	
-0.126223	0.032	3.23	
-0.00210372	0.032	3.235	
0.145157	0.032	3.24	
-0.0210372	0.032	3.245	
-0.239824	0.032	3.25	
-0.0841489	0.032	3.255	
0.136742	0.032	3.26	
0.0525931	0.032	3.265	
-0.115705	0.032	3.27	
0.0231409	0.032	3.275	
0.210372	0.032	3.28	
0.0610079	0.032	3.285	
-0.161987	0.032	3.29	
-0.105186	0.032	3.295	
0.0736303	0.032	3.3	
-0.0189335	0.033	3.305	
-0.147261	0.033	3.31	
0.0441782	0.033	3.315	
0.250343	0.033	3.32	
0.117808	0.033	3.325	
-0.100979	0.033	3.33	
-0.0336596	0.033	3.335	
0.117808	0.033	3.34	
-0.0399707	0.033	3.345	
-0.235617	0.033	3.35	
-0.0946675	0.033	3.355	
0.145157	0.033	3.36	
0.0925638	0.033	3.365	
-0.0862526	0.033	3.37	
-0.00631117	0.033	3.375	
0.155675	0.033	3.38	
0.00841489	0.033	3.385	
-0.19775	0.033	3.39	
-0.09046	0.033	3.395	
0.130431	0.033	3.4	
0.111497	0.034	3.405	
-0.0210372	0.034	3.41	
0.113601	0.034	3.415	
0.237721	0.034	3.42	
0.0483856	0.034	3.425	
-0.208268	0.034	3.43	
-0.12412	0.034	3.435	
0.0462819	0.034	3.44	
-0.0357633	0.034	3.445	
-0.18092	0.034	3.45	
-0.0252447	0.034	3.455	
0.191439	0.034	3.46	
0.0925638	0.034	3.465	
-0.103082	0.034	3.47	
-0.037867	0.034	3.475	
0.109394	0.034	3.48	
0.00841489	0.034	3.485	
-0.147261	0.034	3.49	
-0.0315558	0.034	3.495	
0.183024	0.034	3.5	
0.111497	0.035	3.505	
-0.075734	0.035	3.51	
-0.0189335	0.035	3.515	
0.0799414	0.035	3.52	
-0.0736303	0.035	3.525	
-0.25455	0.035	3.53	
-0.126223	0.035	3.535	
0.130431	0.035	3.54	
0.0883563	0.035	3.545	
-0.0589042	0.035	3.55	
0.0273484	0.035	3.555	
0.155675	0.035	3.56	
0.0294521	0.035	3.565	
-0.187231	0.035	3.57	
-0.0862526	0.035	3.575	
0.09046	0.035	3.58	
0.0357633	0.035	3.585	
-0.0673191	0.035	3.59	
0.0126223	0.035	3.595	
0.145157	0.035	3.6	
0.0483856	0.036	3.605	
-0.153572	0.036	3.61	
-0.0631117	0.036	3.615	
0.0568005	0.036	3.62	
-0.0568005	0.036	3.625	
-0.168298	0.036	3.63	
0.0147261	0.036	3.635	
0.204061	0.036	3.64	
0.10729	0.036	3.645	
-0.0631117	0.036	3.65	
-0.0147261	0.036	3.655	
0.0736303	0.036	3.66	
-0.0778377	0.036	3.665	
-0.208268	0.036	3.67	
-0.0673191	0.036	3.675	
0.122016	0.036	3.68	
0.111497	0.036	3.685	
0.00631117	0.036	3.69	
0.0715266	0.036	3.695	
0.12412	0.036	3.7	
-0.0336596	0.037	3.705	
-0.187231	0.037	3.71	
-0.0441782	0.037	3.715	
0.12412	0.037	3.72	
0.0210372	0.037	3.725	
-0.0504893	0.037	3.73	
0.0883563	0.037	3.735	
0.185128	0.037	3.74	
-0.0126223	0.037	3.745	
-0.204061	0.037	3.75	
-0.0967712	0.037	3.755	
0.0483856	0.037	3.76	
-0.0231409	0.037	3.765	
-0.0967712	0.037	3.77	
0.0778377	0.037	3.775	
0.21458	0.037	3.78	
0.100979	0.037	3.785	
-0.0589042	0.037	3.79	
-0.00631117	0.037	3.795	
0.0525931	0.037	3.8	
-0.0799414	0.038	3.805	
-0.157779	0.038	3.81	
0.0273484	0.038	3.815	
0.195646	0.038	3.82	
0.0631117	0.038	3.825	
-0.0631117	0.038	3.83	
0.0336596	0.038	3.835	
0.0925638	0.038	3.84	
-0.0925638	0.038	3.845	
-0.235617	0.038	3.85	
-0.0568005	0.038	3.855	
0.12412	0.038	3.86	
0.0441782	0.038	3.865	
-0.0504893	0.038	3.87	
0.0673191	0.038	3.875	
0.138846	0.038	3.88	
-0.0462819	0.038	3.885	
-0.227202	0.038	3.89	
-0.111497	0.038	3.895	
0.0210372	0.038	3.9	
-0.037867	0.039	3.905	
-0.0820452	0.039	3.91	
0.0946675	0.039	3.915	
0.229306	0.039	3.92	
0.0231409	0.039	3.925	
-0.136742	0.039	3.93	
-0.0231409	0.039	3.935	
0.0925638	0.039	3.94	
-0.0546968	0.039	3.945	
-0.134638	0.039	3.95	
0.0336596	0.039	3.955	
0.159883	0.039	3.96	
0.0147261	0.039	3.965	
-0.140949	0.039	3.97	
-0.0105186	0.039	3.975	
0.0715266	0.039	3.98	
-0.0778377	0.039	3.985	
-0.195646	0.039	3.99	
0.00841489	0.039	3.995	
0.195646	0.039	4	
0.0925638	0.04	4.005	
-0.0294521	0.04	4.01	
0.136742	0.04	4.015	
0.229306	0.04	4.02	
-0.00841489	0.04	4.025	
-0.187231	0.04	4.03	
-0.0504893	0.04	4.035	
0.109394	0.04	4.04	
-0.0210372	0.04	4.045	
-0.136742	0.04	4.05	
0.0294521	0.04	4.055	
0.145157	0.04	4.06	
-0.0105186	0.04	4.065	
-0.178816	0.04	4.07	
-0.0273484	0.04	4.075	
0.117808	0.04	4.08	
0	0.04	4.085	
-0.130431	0.04	4.09	
0.0357633	0.04	4.095	
0.187231	0.04	4.1	
0.0357633	0.041	4.105	
-0.10729	0.041	4.11	
0.0673191	0.041	4.115	
0.199854	0.041	4.12	
-0.0462819	0.041	4.125	
-0.199854	0.041	4.13	
-0.00841489	0.041	4.135	
0.185128	0.041	4.14	
0.0231409	0.041	4.145	
-0.145157	0.041	4.15	
0.0273484	0.041	4.155	
0.183024	0.041	4.16	
-0.00420744	0.041	4.165	
-0.185128	0.041	4.17	
-0.0189335	0.041	4.175	
0.174609	0.041	4.18	
0.0462819	0.041	4.185	
-0.0988749	0.041	4.19	
0.0399707	0.041	4.195	
0.189335	0.041	4.2	
0.0252447	0.042	4.205	
-0.161987	0.042	4.21	
-0.00631117	0.042	4.215	
0.155675	0.042	4.22	
-0.0420744	0.042	4.225	
-0.204061	0.042	4.23	
0.00210372	0.042	4.235	
0.208268	0.042	4.24	
0.0294521	0.042	4.245	
-0.166194	0.042	4.25	
-0.0462819	0.042	4.255	
0.12412	0.042	4.26	
-0.0105186	0.042	4.265	
-0.174609	0.042	4.27	
-0.0126223	0.042	4.275	
0.199854	0.042	4.28	
0.0736303	0.042	4.285	
-0.126223	0.042	4.29	
-0.0210372	0.042	4.295	
0.122016	0.042	4.3	
-0.00631117	0.043	4.305	
-0.159883	0.043	4.31	
0.0315558	0.043	4.315	
0.231409	0.043	4.32	
0.0736303	0.043	4.325	
-0.10729	0.043	4.33	
0.0357633	0.043	4.335	
0.153572	0.043	4.34	
-0.0315558	0.043	4.345	
-0.250343	0.043	4.35	
-0.0883563	0.043	4.355	
0.122016	0.043	4.36	
0.0189335	0.043	4.365	
-0.12412	0.043	4.37	
0.0568005	0.043	4.375	
0.233513	0.043	4.38	
0.0799414	0.043	4.385	
-0.157779	0.043	4.39	
-0.0799414	0.043	4.395	
0.0988749	0.043	4.4	
-0.0210372	0.044	4.405	
-0.145157	0.044	4.41	
0.0483856	0.044	4.415	
0.250343	0.044	4.42	
0.09046	0.044	4.425	
-0.109394	0.044	4.43	
-0.00420744	0.044	4.435	
0.130431	0.044	4.44	
-0.0441782	0.044	4.445	
-0.229306	0.044	4.45	
-0.0715266	0.044	4.455	
0.161987	0.044	4.46	
0.0841489	0.044	4.465	
-0.0946675	0.044	4.47	
0.0210372	0.044	4.475	
0.19775	0.044	4.48	
0.0483856	0.044	4.485	
-0.170401	0.044	4.49	
-0.0862526	0.044	4.495	
0.0799414	0.044	4.5	
0.0105186	0.045	4.505	
-0.119912	0.045	4.51	
0.0462819	0.045	4.515	
0.233513	0.045	4.52	
0.0715266	0.045	4.525	
-0.138846	0.045	4.53	
-0.0778377	0.045	4.535	
0.075734	0.045	4.54	
-0.0294521	0.045	4.545	
-0.159883	0.045	4.55	
-0.0231409	0.045	4.555	
0.176713	0.045	4.56	
0.105186	0.045	4.565	
-0.075734	0.045	4.57	
-0.0252447	0.045	4.575	
0.0862526	0.045	4.58	
-0.0147261	0.045	4.585	
-0.161987	0.045	4.59	
-0.0210372	0.045	4.595	
0.151468	0.045	4.6	
0.0925638	0.046	4.605	
-0.0105186	0.046	4.61	
0.0883563	0.046	4.615	
0.19775	0.046	4.62	
0.0168298	0.046	4.625	
-0.21458	0.046	4.63	
-0.115705	0.046	4.635	
0.0631117	0.046	4.64	
